Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$HtDept.browse#xml                       0.0           0           0         0.0           2
inspectionrecord$HtDept.browse@htDeptsDs               188.5         185         192         3.5           2

Performance Statistics   2017-10-25 21:16:00 - 2017-10-25 21:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$HtDept.browse#init                      0.0           0           0         0.0           3
inspectionrecord$HtDept.browse#inject                    0.0           0           0         0.0           3
inspectionrecord$HtDept.browse#load                     18.7          16          21         2.1           3
inspectionrecord$HtDept.browse#ready                     0.0           0           0         0.0           3
inspectionrecord$HtDept.browse#uiPermissions             0.0           0           0         0.0           3
inspectionrecord$HtDept.browse#xml                       0.0           0           0         0.0           3
inspectionrecord$HtDept.browse@htDeptsDs               204.7         188         233        20.1           3

Performance Statistics   2017-10-25 21:18:00 - 2017-10-25 21:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#load                 20.0          18          23         2.2           3
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           3
inspectionrecord$DefectType.browse#xml                   0.0           0           0         0.0           3
inspectionrecord$DefectType.browse@defectTypesDs        14.3          12          16         1.7           3
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           7
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           7
inspectionrecord$Department.browse#load                 13.0           7          18         4.1           7
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           7
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           7
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           7
inspectionrecord$Department.browse@departmentsDs       161.0         134         300        56.8           7

Performance Statistics   2017-10-25 21:20:00 - 2017-10-25 21:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           2
inspectionrecord$DefectType.browse#load                 19.0          12          26         7.0           2
