Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                1.5           0           3         1.5           2
Messages.searchClasspath                                 0.3           0          14         1.6          93
Messages.searchFiles                                     0.0           0           0         0.0          93
QueryParser.getEntityName()                              0.7           0           2         0.9           3
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getParamNames()                              0.0           0           0         0.0           3
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           2
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           2
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           2
QueryTransformer.addWhereAsIs(..)                        0.5           0           1         0.5           2
QueryTransformer.getResult()                             0.0           0           0         0.0           2
QueryTransformer.replaceWithSelectEntityVariable(..)         0.5           0           1         0.5           2

Performance Statistics   2017-10-25 21:12:00 - 2017-10-25 21:13:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                1.1           0           4         1.5           8
MenuItem.inspectionrecord$Employee.browse              362.0         362         362         0.0           1
MenuItem.inspectionrecord$HtDept.browse               1981.0         282        3680      1699.0           2
MenuItem.inspectionrecord$InspectionRecord.browse       239.0         239         239         0.0           1
Messages.searchClasspath                                 0.0           0           5         0.3        1540
Messages.searchFiles                                     0.0           0          24         0.6        1540
PersistenceSecurity.applyConstraints(..)                 0.7           0           1         0.5          10
QueryParser.getEntityAlias()                             0.1           0           1         0.3           7
QueryParser.getEntityName()                              0.1           0           1         0.2          31
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          21
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          21
QueryParser.getParamNames()                              0.0           0           0         0.0          31
QueryParser.hasIsNullCondition(..)                       0.7           0           4         1.5           6
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          10
ViewRepository.init.ViewRepositoryImpl                  32.0          32          32         0.0           1

Performance Statistics   2017-10-25 21:13:00 - 2017-10-25 21:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           6
Messages.searchClasspath                                 0.0           0           0         0.0           5
Messages.searchFiles                                     0.0           0           0         0.0           5
PersistenceSecurity.applyConstraints(..)                 0.9           0           4         1.2           9
QueryParser.getEntityAlias()                             0.0           0           0         0.0           4
QueryParser.getEntityName()                              0.0           0           0         0.0          22
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          13
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          13
QueryParser.getParamNames()                              0.0           0           1         0.2          22
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           5
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          10

Performance Statistics   2017-10-25 21:14:00 - 2017-10-25 21:15:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                1.0           0           2         1.0           2
Messages.searchClasspath                                 0.1           0           2         0.3          47
Messages.searchFiles                                     0.0           0           0         0.0          47
PersistenceSecurity.applyConstraints(..)                 0.0           0           0         0.0           2
QueryParser.getEntityAlias()                             0.0           0           0         0.0           2
QueryParser.getEntityName()                              0.0           0           0         0.0           5
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getParamNames()                              0.0           0           0         0.0           5
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           2
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           2

Performance Statistics   2017-10-25 21:15:00 - 2017-10-25 21:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.3           0           2         0.7           6
Messages.searchClasspath                                 0.1           0           1         0.3          19
Messages.searchFiles                                     0.0           0           0         0.0          19
PersistenceSecurity.applyConstraints(..)                 0.5           0           1         0.5           8
QueryParser.getEntityAlias()                             0.0           0           0         0.0           4
QueryParser.getEntityName()                              0.0           0           0         0.0          19
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          11
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          11
QueryParser.getParamNames()                              0.0           0           0         0.0          19
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           5
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           9

Performance Statistics   2017-10-25 21:16:00 - 2017-10-25 21:17:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           2
PersistenceSecurity.applyConstraints(..)                 0.5           0           1         0.5           2
QueryParser.getEntityAlias()                             0.0           0           0         0.0           1
QueryParser.getEntityName()                              0.2           0           1         0.4           5
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getParamNames()                              0.0           0           0         0.0           5
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           1
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           2

Performance Statistics   2017-10-25 21:17:00 - 2017-10-25 21:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           4
Messages.searchClasspath                                 0.0           0           0         0.0           5
Messages.searchFiles                                     0.0           0           0         0.0           5
PersistenceSecurity.applyConstraints(..)                 0.1           0           1         0.3           8
QueryParser.getEntityAlias()                             0.0           0           0         0.0           4
QueryParser.getEntityName()                              0.0           0           0         0.0          22
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          14
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          14
QueryParser.getParamNames()                              0.0           0           0         0.0          22
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           6
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          10

Performance Statistics   2017-10-25 21:18:00 - 2017-10-25 21:19:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           8
MenuItem.inspectionrecord$DefectType.browse             55.0          55          55         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.2           0           1         0.4          19
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           1
QueryParser.getEntityAlias()                             0.1           0           1         0.3          12
QueryParser.getEntityName()                              0.0           0           1         0.1          47
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          28
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          28
QueryParser.getParamNames()                              0.0           0           0         0.0          47
QueryParser.hasIsNullCondition(..)                       0.1           0           1         0.2          17
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          21

Performance Statistics   2017-10-25 21:19:00 - 2017-10-25 21:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0          12
MenuItem.inspectionrecord$DefectType.browse             57.5          53          62         4.5           2
MenuItem.inspectionrecord$Department.browse            178.0         178         178         0.0           1
Messages.searchClasspath                                 0.0           0           0         0.0          10
Messages.searchFiles                                     0.0           0           0         0.0          10
PersistenceSecurity.applyConstraints(..)                 0.3           0           4         0.9          27
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           1
QueryParser.getEntityAlias()                             0.0           0           0         0.0          21
QueryParser.getEntityName()                              0.0           0           1         0.2          67
